Artist,Title,Medium,Medium_classified,Acquistion_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
Alfred William Finch,"Malliharjoitelma, nainen, jolla on mustat sukat jalassa",,graphics,,,,1854,1930,,
Alfred William Finch,Hevonen,,graphics,,,,1854,1930,,
Akseli Gallen-Kallela,"Zvicken, nukkuva koira, harjoitelma",,graphics,,,,1865,1931,,
Per Krohg,"Juominki, luonnos Grand Cafén seinämaalaukseen Oslossa",,painting,,,,1889,1965,,1928
Ulla Rantanen,Katukuva,,painting,,2003,,1938,,,1969
Verner Thomé,Pääkallo,,painting,,,,1878,1953,,
Ilmari Huitti,Mietteissä,,painting,,,,1897,1960,,1930
Oskari Paatela,Maisema Suursaarelta,,,,,,1888,1952,,1925
Albert Edelfelt,Taiteilijatar Antoinette Vallgren os. Råström,,painting,,,,1854,1905,,1887
Håkan Brunberg,Tyttö ja miehet mustissa,,,,,,,,,
Hugo Simberg,Edvard Munchin näyttelyn juliste,,graphics,,1928,,1873,1917,,1909
Magnus Enckell,Veneitä rannalla,,painting,,,,1870,1925,,1902
Sigurd Wettenhovi-Aspa,August Strindbergin muotokuva,,painting,,,,1870,1946,,1894
Helmi Kuusi,Omenapuita,,graphics,,,,1913,2000,,1975
Hugo Simberg,Omenien poimija,,graphics,,1987,,1873,1917,,1901
Pentti Kaskipuro,Omenapuu,,graphics,,,,1930,2010,,1963
Pentti Kaskipuro,Omenavati,,graphics,,,,1930,2010,,2001
Eero Järnefelt,Omenapuu,,painting,,,,1863,1937,,1883
Alice Kaira,Naruleikki,,painting,,,,1913,2006,,1987
Marino Marini,Ratsastaja,,painting,,,,1901,1980,,1955
Adolf von Becker,Nukkuva harmaa kissa ja rotta,,painting,,1865,,1831,1909,,1864
Magnus Enckell,"""Hemåt i höstregn""",,graphics,,,,1870,1925,,1896
Adolf von Becker,Kissa poikasineen,,painting,,1864,,1831,1909,,1863
Ina Colliander,Enkeli tulipunainen,,graphics,,,,1905,1985,,1959
Hugo Simberg,Haavoittunut enkeli,,painting,,,,1873,1917,,1903
Maria Wiik,"Makaava kissa, Mosse",,painting,,,,1853,1928,,1872
