Artist,Title,Medium,Medium_classified,Acquisition_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
Annu Vertanen,Hyvässä uskossa (Bona Fide),,graphics,,2015,,1960,,,1990
Annu Vertanen,Kaiken alkulähde,,graphics,,2015,,1960,,,1990
Marjatta Tapiola,"Meidän on näyteltävä sää, ilma, tuuli, myrsky",,painting,,1991,,1951,,,1991
Pekka Nevalainen,Laika-koira opastaa taiteen avaruuteen: Moderni kuvanveisto,,,,1993,,1951,,,1985
Pekka Nevalainen,Laika-koira opastaa taiteen avaruuteen: Moderni kuvanveisto,,,,1993,,1951,,,1985
Ulrika Wärmling,Johan ja Sebastien Observatorielundissa,,painting,,2009,,1970,,,2009
Viggo Wallensköld,Prinsessa,,painting,,2005,,1969,,,2004
Jarmo Mäkilä,Kevät,,,,1991,,1952,,,1991
Hulda Hákon,"Auringossa: joukko ihmisiä, erilaisia elämäntapoja",,object,,1991,,1956,,,1990
Robin Lindqvist,70 vihreän sävyä,,painting,,2018,,1979,,,2010
Olli Marttila,Kasvoja,,graphics,,2018,,1948,,,2008
Lea Kantonen,Joka hetki,,video art,,1995,,1956,,,1990
Pasi Myllymäki,Murra murra,,,,2007,,1950,,,1985
Risto Laakkonen,Jatkuu,,,,2007,,,,,1982
Risto Laakkonen,Nauhuri on ihmeellinen keksintö,,,,2007,,,,,1983
Risto Laakkonen,1982 -sensuurin vuosi,,,,2007,,,,,1983
Risto Laakkonen,Viilletyt valtimot,,,,2007,,,,,1984
Risto Laakkonen,,,,,2007,,,,,1979
Juha van Ingen,,,video art,,2008,,1963,,,2007
June Bum Park,Palapeli 2-02,,video art,,2009,,1976,,,2002
Bruce Nauman,Wall/Floor Positions,,video art,,1991,,1941,,,1968
Troy Innocent,Idea-ON>!,,,,1995,,1971,,,1994
William Wegman,"Selected Works, Reel 4",,video art,,1991,,1943,,,1972
,Seuraa tulevaisuudesta,,graphics,,2003,,,,,2002
,Seuraa tulevaisuudesta,,graphics,,2003,,,,,2002
Ilkka Halso,Kitkajoki,,graphics,,2004,,1965,,,2004
,Seuraa tulevaisuudesta,,graphics,,2003,,,,,2002
Aurora Reinhard,Eksoottinen tanssijatar (omakuva),,graphics,,2008,,1975,,,2006
Jukka Korkeila,Nimetön (lepäävä satyyri),,graphics,,2003,,1968,,,2003
,Piirustus,,,,1992,,1920,1991,,1980
Stiina Saaristo,Scarlet,,painting,,2005,,1976,,,2004
Gun Holmström,Jokaisen oma kohtu,,video art,,1999,,1964,,,1999
Kalervo Palsa,Kaikki runkkaavat,,graphics,,1999,,1947,1987,,1970
Kalervo Palsa,"""Älä unohda viikatetta, ystävä""",,graphics,,1999,,1947,1987,,1969
Jussi Nykänen,Luonnoksia,,,,2019,,1985,,,2018
Jussi Nykänen,Luonnoksia,,,,2019,,1985,,,2018
Jussi Nykänen,Luonnoksia,,,,2019,,1985,,,2018
Jussi Nykänen,Luonnoksia,,,,2019,,1985,,,2018
Halldór Asgeirsson,The Masque,,object,,1991,,1956,,,1988
Kalervo Palsa,nimetön (sääskiä),,graphics,,1999,,1947,1987,,1968
Olli Marttila,Kasvoja,,graphics,,2018,,1948,,,2014
Olli Marttila,Kasvoja,,graphics,,2018,,1948,,,2014
Leena Luostarinen,Sade,,painting,,1993,,1949,2013,,1981
Ville Kylätasku,,,painting,,2018,,1979,,,2011
Teija Isorättyä,,,object,,2018,,,,,2017
Elina Merenmies,Pitkä tukka,,graphics,,2007,,1967,,,1991
Pia Männikkö,Maisemakone,,,,2016,,1971,,,2016
Ville Kylätasku,Kallo,,painting,,2018,,1979,,,2011
Ari Kakkinen,Kaiuton,,,,2007,,1966,,,2004
Elina Merenmies,Sotkuista,,graphics,,2007,,1967,,,1991
Ville Kylätasku,Puistossa,,painting,,2018,,1979,,,2011
