Artist,Title,Medium,Medium_classified,Acquistion_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
"GIBSON, Bessie",Portrait (woman knitting),,painting,museum accession,1961,,1868,1961,Australia,1961
"DICKERSON, Robert",Working in the fields,,painting,museum accession,1963,,1924,2015,New Zealand,1959
"JOMANTAS, Vincas",Sacrifice II,,sculpture,gift,1972,,1922,2001,United States,1965
"HOGARTH, William (Printer)","Marriage a la Mode, plate II. The breakfast scene",,graphics,gift,1932,,1697,1764,France,1745
"LOW, after David",Aldous Huxley (reproduction),,graphics,gift,1940,,1892,1963,New Zealand,1926
UNKNOWN,Political marches banned by Bjelke-Petersen,,graphics,bequest,1991,,,,Australia,1977
"ZURBRUGG, Nicholas (Collaborating artist)",Objectivity?,,graphics,gift,1993,,1947,2001,Australia,1989
"MOSBY, Carolyn",Pair of earrings,,,museum accession,1990,,1956,,Australia,1989
"MACIUNAS, George",Douglass College Fluxshow (February 16-20 1970),,graphics,gift,1997,,1931,1978,Lithuania,1970
"COLQUHOUN, Amalie",The rag doll,,painting,gift,1953,,1894,1974,Australia,1941
"YOSHIDA, Toshi",Morinji in spring,,graphics,gift,2001,,1911,1995,Japan,1951
"BENNETT, Gordon",Self portrait #36,,graphics,assisted purchase,2005,,1955,2014,Australia,2004
"BENNETT, Gordon",Self portrait #42,,graphics,assisted purchase,2005,,1955,2014,Australia,2004
"MARBURDUK, Laurie",Honey,,graphics,museum accession,2007,,1951,,Australia,2006
"DUPAIN, Max",At Newport,,photography,museum accession,1990,,1911,1992,New Zealand,1952
"AIRD, Michael",Portrait of a child (from 'Portraits' series),,photography,gift,1990,,1963,,Australia,1988
"CLAUSEN, George (Creator)","Turning a big gun (from the set 'Making guns', in 'The efforts', the first part of 'The Great War:  Britain's efforts and ideals shown in a series of lithographic prints' series)",,graphics,museum accession,1967,,1852,1944,,1917
"SERICO, Vincent",Cooktown gold miners I-IV,,painting,gift,2007,,1949,2008,Australia,2007
BOHEMIAN STYLE,Goblet,,object,bequest,1975,,,,Czech Republic,1840
"BISWANGER, Bernard",Mantle clock and cover,,object,bequest,1975,,,,Czech Republic,1850
"RICHTER, Hans",(Untitled),,graphics,gift,1992,,1888,1976,Germany,1973
"HARVEY, L.J.",Note book:  (Art nouveau motifs),,object,gift,1992,,1871,1949,Australia,
"BORGELT, Marion",Bloodlight stack no. 3,,sculpture,gift,2005,,1954,,United States,2001
UNKNOWN,Basket with handle,,object,museum accession,1952,,,,,
UNKNOWN (Creator),(Killarney district),,photography,bequest,1994,,,,,1914
UNKNOWN (Creator),(Political poster exhibition from Scandinavia),,graphics,gift,1991,,,,,1982
"MOHAMEDI, Nasreen",Untitled,,photography,assisted purchase,2004,,1937,1990,India,1981
"DURRNG, Mickey",Garriyak body painting,,painting,gift,2006,,1940,2006,Australia,2006
WIRIGERIE,Nulla-nulla,,object,museum accession,1990,,,,Australia,1989
"FOLEY, Fiona (Creator)",Samsara III,,graphics,gift,2004,,1964,,,2003
"WILSON, Lindsay",Yalma (Cross boomerang),,object,museum accession,2004,,1939,1995,Australia,1991
UNKNOWN,Inro with netsuke:  (Japanese characters),,object,bequest,1985,,,,Japan,
"ASPDEN, David (Creator)","Moon, sea and shells (from 'The spirit from the sea' portfolio)",,graphics,gift,1986,,1935,2005,,1981
"ASPDEN, David (Creator)",Reef (from 'The spirit from the sea' portfolio),,graphics,gift,1986,,1935,2005,,1981
UNKNOWN,Support democratic rights,,graphics,bequest,1991,,,,Australia,1980
"MOHAMEDI, Nasreen",Untitled,,photography,assisted purchase,2004,,1937,1990,India,1968
"FULLBROOK, Sam",River idyll,,painting,museum accession,1965,,1922,2004,New Zealand,1964
"HILDER, J.J.","Island schooner, Moreton Bay",,painting,museum accession,1967,,1881,1916,Australia,1910
"ALBERS, Anni (Creator)",Orchestra III 1980 (from 'Connections 1925-83' portfolio),,graphics,museum accession,1990,,1899,1994,United States,1984
"CANT, James",The lunch hour,,painting,museum accession,1998,,1911,1982,New Zealand,1945
"HAWKER, George",Glass pyramid (from 'Volatile alliances' 1995 portfolio),,graphics,gift,1998,,,,Canada,1994
"KWAMI, Atta",Tana (from 'Volatile alliances' 1995 portfolio),,graphics,gift,1998,,,,Ghana,1994
"ORCHARD, Ken",Grey (from 'Volatile alliances' 1995 portfolio),,graphics,gift,1998,,1959,,South Africa,1994
"HOKUSAI, after Katsushika",Sunshu Ono-shinden (The paddies of Ono in Suruga Province) (Peasants lead oxen laden with bundles of rushes;  women carry the harvest on their backs) (no. 43 from 'Ura-Fuji' (Fuji from the other side);  ten supplementary prints to 'Fugaku Sanju-Rokkei' (T,,graphics,museum accession,1966,,1760,1849,Japan,1829
"KING, Gerry",Sculpture:  Two worlds,,object,museum accession,1996,,1945,,South Africa,1992
"MERRITT, Rachel",Ribbed bowl,,object,museum accession,1996,,1965,,South Africa,1995
"TAN, Laurens",Altered vase (from 'Plight of the landscape' series),,object,museum accession,1984,,1950,,South Africa,1984
"VALAMANESH, Hossein (Creator)",(Sand print),,graphics,museum accession,1984,,1949,2022,,1982
"SCHWENSEN, Tony",Prime beef export quality,,new media,gift,2009,,1970,,United States,1999
"SCHWENSEN, Tony",Hamburger boygroup,,new media,gift,2009,,1970,,United States,2000
"CONZ, Francesco",(Ben Patterson and unidentified person),,photography,gift,1995,,1935,2010,Italy,1993
"RIMZON, N.N.",White boat,,graphics,museum accession,1996,,1957,,India,1995
"GRANT, W.G.",Coastline at Point Perry,,painting,gift,2001,,1876,1951,Australia,1945
"HOEDEMAN, Co (Creator)",Le jardin d'Ecos (The garden of Ecos),,video art,assisted purchase,2004,,1940,,,1997
UNKNOWN (Creator),(Timber cutters),,photography,bequest,1994,,,,,1914
"MURRAY, James Alexander",Moonrise,,photography,gift,1983,,1892,1949,United States,
"MOHAMEDI, Nasreen",Untitled,,photography,assisted purchase,2004,,1937,1990,India,1972
"MADDISON, Ruth","(Untitled 3) (from 'Christmas holiday with Bob's family, Queensland, 1978' series)",,photography,gift,1995,,1945,,Australia,1978
"LAHEY, Vida",(Dante study),,graphics,gift,1986,,1882,1968,Australia,1930
"YOKOO, Tadanori (Creator)",Akasa-bhumi (from 'Shambala' portfolio),,graphics,museum accession,1991,,1936,,,1974
WOMEN'S DOMESTIC NEEDLEWORK GROUP,The song of the skirt (no. 2 from 'D'oyley show' series),,graphics,gift,1993,,1979,1986,New Zealand,1979
"SUGIMOTO, Hiroshi","Saint James, New Zealand",,photography,museum accession,1996,,1948,,Japan,1991
"BURSTOW, Graham","The final inspection, Toowoomba (from 'Journeys north' portfolio)",,photography,museum accession,1987,,1927,2022,Australia,1986
"BENNETT, Gordon",Self portrait #14,,graphics,assisted purchase,2005,,1955,2014,Australia,2003
"MACKAY, Jan (Creator)",Xmas Festival Dance,,graphics,gift,1993,,1950,,,1979
DR WALL (WORCESTER),Reeded coffee pot,,object,gift,2004,,1751,1783,,1758
"DJUTTARA, Elizabeth",Wanydjalpi (Yam sculpture),,,gift,2005,,1942,,Australia,2004
HOPI PUEBLO,Pot,,object,museum accession,1977,,,,United States,1900
"LINDSAY, Lionel",The white fan,,graphics,gift,1938,,1874,1961,Australia,1935
"AMUCHASTEGUI, Axel (Creator)",Ocelot head,,graphics,gift,1979,,1921,2002,,1968
"JONGKIND, Johan","Soleil couchant, Port d'Anvers (Sunset at Antwerp Harbour)",,graphics,museum accession,1979,,1819,1891,,1868
UNKNOWN,Collar,,object,gift,1979,,,,Belgium,1870
UNKNOWN GLASSMAKER,Wine glass,,object,gift,1952,,,,,
attrib. to CAUGHLEY,Tea bowls and saucers,,object,bequest,1978,,1775,1799,,1775
UNKNOWN,Soup bowl,,object,bequest,1978,,,,,1820
"BOYNES, Diana",Chain and pendant,,,museum accession,1981,,1941,,South Africa,1981
"HEYSEN, Hans",Pastoral,,graphics,gift,1960,,1877,1968,United States,1944
"SIMMONDS, Rose","(Rosemary and Margaret with hats, playing on the sand)",,photography,gift,1993,,1877,1960,Australia,1938
"LEVY, Col",Vase:  Wavy form,,object,gift,1995,,1933,,New Zealand,1994
"NEDELKOPOULOS, Nicholas",Working woman,,photography,museum accession,1991,,1955,,Australia,1976
