Artist,Title,Medium,Year_acquisition
,La hora de los hornos. 1º Parte: Neocolonialismo y violencia (The Hour of the Furnaces. Part #1: Neocolonialism and Violence),Film,
,Des armes pour l’Espagne antifasciste (Weapons for Anti-Fascist Spain),Graphic art,2012
,La torre de los siete jorobados (The Tower of the Seven Hunchbacks),Film,
,Sans titre (Paris: boulevard de la Gare) (Untitled [Paris: boulevard de la Gare]),Painting,2015
,Agrafage (Stapling),Painting,2015
,Principle of Detachment: New York Reading,Sculpture,2011
APA (Feliu Elias i Bracons),Concours Préparatoires... Exposition Internationale de la Technique du Bâtiment... Parc de Montjuich (Preparatory Competitions… The International Exhibition of Construction Technology... Montjuic Park),Graphic art,2019
Antoni Abad,Sísifo (Sisyphus),"Installation, Video",1998
Francesc Abad,Accions. Treball sobre els quatre elements 1 (Actions. Work on the Four Elements 1),"Video, Action",2009
Francesc Abad,Accions. Treball sobre els quatre elements 2 (Actions. Work on the Four Elements 2),"Video, Action",2009
Francesc Abad,"Aire. Acción, cuadrado en el suelo con hojas y destrucción de ese cuadrado por la acción del viento (Air. Action, Square on the Ground with Leaves and Destruction of the Square Due to the Action of the Wind)","Photography, Action",2009
Francesc Abad,Procés transformació (Transformation Process),Photography,2009
Francesc Abad,"Peça-forma. Tint-1, Banyoles (Piece-Form. Tint-1, Banyoles)","Video, Action",2009
Francesc Abad,Peça-acció 1. Institut industrial de Terrassa (Piece-Action 1. Industrial Institute of Terrassa),"Video, Action",2009
Francesc Abad,Peça-acció 2. Institut industrial de Terrassa (Piece-Action 2. Industrial Institute of Terrassa),"Video, Action",2009
Francesc Abad,Terrassa. Informació d'Art (Terrassa. Information of Art),"Video, Action",2009
Francesc Abad,Medició circular (Roundness Measuring),"Video, Action",2009
Francesc Abad,Homenatge a l'home del carrer (Homage to the Man in the Street),"Installation, Photography",2012
Magdalena Abakanowicz,Thirty Backwards Standing Figures,"Sculpture, Installation",1997
Ignasi Aballí,Mirades (Gazes),Installation,2016
Ignasi Aballí,Biblioteca II (Library II),Photography,2002
Ignasi Aballí,Inmigrantes II (Inmigrants II),Graphic art,2007
