Artist,Title,Medium,Medium_classified,Acquisition_classified,Year_acquisition,Gender_classified,Artist_birth_year,Artist_death_year,Country_calculated,Date_creation_year
Berenice Abbott,"Buddy Gilmore, Paris",,graphics,gift,2001,,1898,1991,,1926
Berenice Abbott,"Untitled (Foyer of the Whitney Museum of American Art on 8th Street, NYC)",,graphics,gift,1999,,1898,1991,,1938
Berenice Abbott,"Exchange Place, NY",,graphics,gift,2014,,1898,1991,,1940
Matthew Abbott,Proust,,graphics,gift,1999,,1965,,,1997
Michele Abeles,Pochoir,,graphics,assisted purchase,2013,,1977,,,2012
Michele Abeles,Re:Re:Re:Re:Re:Re:Re:,,graphics,assisted purchase,2014,,1977,,,2012
Michele Abeles,Watches #15,,graphics,gift,2015,,1977,,,2014
Sigmund Abeles,Morning,,graphics,gift,2004,,1934,,,1965
Sigmund Abeles,Vietnam Series: Helicopters,,graphics,gift,1999,,1934,,,1967
Ida Abelman,Wonders of our Time,,,assisted purchase,1993,,1910,2002,,1937
Ida Abelman,Complex Edifice,,graphics,gift,1999,,1910,2002,,1963
Satoru Abe,Twin Trees,,object,assisted purchase,1963,,1926,,,1961
Raimund Abraham,Untitled,,graphics,assisted purchase,2013,,1933,2010,,1982
Marina Abramovic,Light Side/Dark Side,,graphics,assisted purchase,2012,,1946,,,2006
Juan Abreu,Untitled,,graphics,gift,1995,,1952,,,1994
Vito Acconci,Hands Down/Side by Side,,graphics,assisted purchase,1992,,1940,2017,,1969
Vito Acconci,Three Frame Studies,,video art,assisted purchase,2010,,1940,2017,,1969
Vito Acconci,Three Relationship Studies,,video art,assisted purchase,2010,,1940,2017,,1970
Vito Acconci,Claim Excerpts,,video art,assisted purchase,2000,,1940,2017,,1971
Vito Acconci,PROPS: Templates for Publicity Photos,,graphics,gift,2010,,1940,2017,,1973
Vito Acconci,Memory Box III (Vanishing Point),,graphics,assisted purchase,1994,,1940,2017,,1974
Vito Acconci,The Red Tapes,,video art,assisted purchase,2010,,1940,2017,,1977
Vito Acconci,False Center for L.A. (or: the New York Address),,object,assisted purchase,1979,,1940,2017,,1978
Vito Acconci,Crash,,graphics,assisted purchase,2009,,1940,2017,,1984
Vito Acconci,I Love New York/New York Loves Me,,object,assisted purchase,2006,,1940,2017,,1986
Vito Acconci,Inside a Room of Sky: Memphis,,graphics,assisted purchase,2012,,1940,2017,,2001
Keith Achepol,"Untitled [Foot, with leaves, and red watercolor]",,graphics,assisted purchase,2002,,1934,,,2001
Alice Adams,Screen,,,gift,1998,,1930,,,1997
Ansel Adams,"Moonrise, Hernandez, New Mexico",,graphics,gift,2014,,1902,1984,,1941
Ansel Adams,"Roots, Foster Garden, Honolulu",,graphics,gift,2014,,1902,1984,,1948
Ansel Adams,"Aspens, Northern New Mexico",,graphics,gift,2014,,1902,1984,,1958
Dennis Adams,(Title page),,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,(Chronology),,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,A,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,B,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,C,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,D,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,E,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,F,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,G,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,H,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,I,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,J,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,K,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,L,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,M,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,N,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,O,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,P,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,Q,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,R,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,S,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,T,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,U,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,V,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,W,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,X,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,Y,,graphics,assisted purchase,1991,,1948,,,1990
Dennis Adams,Z,,graphics,assisted purchase,1991,,1948,,,1990
Kenneth M. Adams,New Mexico Village Under Snow,,,museum accession,1940,,1897,1966,,1929
Pat Adams,From a Pleasure House,,graphics,gift,1961,,1928,,,1959
Robert Adams,Colorado,,graphics,gift,2011,,1937,,,1968
Robert Adams,Untitled,,graphics,gift,2011,,1937,,,
Robert Adams,"Interstate 25, north edge of Denver, Colorado",,graphics,gift,2011,,1937,,,1973
Robert Adams,"Along Interstate 25, Eden, Colorado",,graphics,assisted purchase,1996,,1937,,,1968
Robert Adams,Farm Road and Cottonwood. South of Raymer. 1968.,,graphics,assisted purchase,1996,,1937,,,1968
Robert Adams,"Motel, Colorado Springs",,graphics,assisted purchase,1996,,1937,,,1969
Robert Adams,"Outdoor Theater, Colorado Springs, Colorado",,graphics,gift,2011,,1937,,,1968
Robert Adams,Untitled,,graphics,gift,2011,,1937,,,1968
Robert Adams,Untitled,,graphics,gift,2011,,1937,,,1968
Robert Adams,Untitled,,graphics,gift,2011,,1937,,,1968
Robert Adams,Colorado Springs,,graphics,gift,2011,,1937,,,1970
Robert Adams,Colorado,,graphics,gift,2011,,1937,,,1970
Robert Adams,Untitled,,graphics,gift,2011,,1937,,,1970
Robert Adams,Untitled,,graphics,gift,2011,,1937,,,1970
Robert Adams,Untitled,,graphics,gift,2011,,1937,,,1970
Robert Adams,"Sheridan Boulevard, Lakewood",,graphics,gift,2011,,1937,,,1970
Robert Adams,Untitled,,graphics,gift,2011,,1937,,,1970
Robert Adams,Untitled,,graphics,gift,2011,,1937,,,1973
Robert Adams,Colorado,,graphics,gift,2011,,1937,,,1973
Robert Adams,Colorado,,graphics,gift,2011,,1937,,,1973
Robert Adams,Colorado,,graphics,gift,2011,,1937,,,1973
Robert Adams,"Longmont, Colorado",,graphics,gift,2011,,1937,,,1973
Robert Adams,"Colorado Springs, Colorado",,graphics,gift,2011,,1937,,,1979
Robert Adams,Colorado,,graphics,gift,2006,,1937,,,1981
Robert Adams,Untitled,,graphics,gift,2011,,1937,,,1981
Robert Adams,Untitled,,graphics,gift,2011,,1937,,,1981
Robert Adams,Untitled,,graphics,gift,2011,,1937,,,1981
Robert Adams,Untitled,,graphics,assisted purchase,2010,,1937,,,1985
Robert Adams,"Longmont, Colorado",,graphics,gift,2011,,1937,,,1980
Robert Adams,"Longmont, Colorado",,graphics,gift,2011,,1937,,,1982
Robert Adams,"Southwest from the South Jetty, Clatsop County, Oregon, 1990",,graphics,gift,1995,,1937,,,1990
