,Artist,Title,Year_acquisition,Date_creation_year,Artist_birth_year,Artist_death_year
1,Alfred William Finch,"Malliharjoitelma, nainen, jolla on mustat sukat jalassa",,,1854,1930
2,Alfred William Finch,Hevonen,,,1854,1930
6,Akseli Gallen-Kallela,"Zvicken, nukkuva koira, harjoitelma",,,1865,1931
8,Per Krohg,"Juominki, luonnos Grand Cafén seinämaalaukseen Oslossa",,1928,1889,1965
11,Ulla Rantanen,Katukuva,2003,1969,1938,
12,Verner Thomé,Pääkallo,,,1878,1953
14,Ilmari Huitti,Mietteissä,,1930,1897,1960
25,Oskari Paatela,Maisema Suursaarelta,,1925,1888,1952
29,Albert Edelfelt,Taiteilijatar Antoinette Vallgren os. Råström,,1887,1854,1905
31,Håkan Brunberg,Tyttö ja miehet mustissa,,,,
35,Hugo Simberg,Edvard Munchin näyttelyn juliste,1928,1909,1873,1917
36,Magnus Enckell,Veneitä rannalla,,1902,1870,1925
42,Sigurd Wettenhovi-Aspa,August Strindbergin muotokuva,,1894,1870,1946
47,Helmi Kuusi,Omenapuita,,1975,1913,2000
48,Hugo Simberg,Omenien poimija,1987,1901,1873,1917
62,Pentti Kaskipuro,Omenapuu,,1963,1930,2010
77,Pentti Kaskipuro,Omenavati,,2001,1930,2010
78,Eero Järnefelt,Omenapuu,,1883,1863,1937
80,Alice Kaira,Naruleikki,,1987,1913,2006
83,Marino Marini,Ratsastaja,,1955,1901,1980
91,Adolf von Becker,Nukkuva harmaa kissa ja rotta,1865,1864,1831,1909
93,Magnus Enckell,"""Hemåt i höstregn""",,1896,1870,1925
102,Adolf von Becker,Kissa poikasineen,1864,1863,1831,1909
115,Ina Colliander,Enkeli tulipunainen,,1959,1905,1985
119,Hugo Simberg,Haavoittunut enkeli,,1903,1873,1917
121,Maria Wiik,"Makaava kissa, Mosse",,1872,1853,1928
153,Kosti Meriläinen,Suomenlinnasta,,1917,1886,1938
162,Albert Edelfelt,"Von Essen-runon alkukirjain H, originaalipiirustus Vänrikki Stoolin tarinain kuvitukseen",,1897,1854,1905
165,Lars-Gunnar Nordström,Konstruktio,,1954,1924,2014
173,Gino Forti,Debora,,1994,,
184,Duilio Rossoni,Maisema Laziosta I,2009,2008,,
195,Ole Kandelin,Nuorallatanssija,,1944,1920,1947
196,Eino Ahonen,Tilanpäiten,1971,1971,1941,
202,Leo Lindsten,Ylösnousemus,,1969,1943,1988
204,Aukusti Uotila,Soitannollisen kodin sisäkuva,,1879,1858,1886
205,Johannes Takanen,"Narkissos, luonnos",1886,1875,1849,1885
206,Karl Emanuel Jansson,"""Nuoruudenystävän"" muotokuva (Hjalmar Montell)",1895,1866,1846,1874
210,Tuulikki Pietilä,Colloquio di donne,,1952,1917,2009
231,Pentti Kaskipuro,Nukkuva kissa,,1980,1930,2010
235,Pentti Kaskipuro,Istuva kissa,,1980,1930,2010
237,Johannes Takanen,Istuva kissa,,1860,1849,1885
239,Ville Vallgren,August Strindbergin rintakuva,1888,1885,1855,1940
241,Magnus Enckell,Luonnoskirja,1926,,1870,1925
242,Ellen Thesleff,Luonnoskirja,,1888,1869,1954
243,Ellen Thesleff,Luonnoskirja,,1888,1869,1954
244,Ellen Thesleff,Luonnoskirja,,1901,1869,1954
245,Ellen Thesleff,Luonnoskirja,,1923,1869,1954
246,Ellen Thesleff,Luonnoskirja,,1911,1869,1954
247,Ellen Thesleff,Luonnoskirja,,1890,1869,1954
248,Ellen Thesleff,Luonnoskirja,,1902,1869,1954
251,Berndt Lindholm,Höyrylaiva jäissä,,1878,1841,1914
254,Akseli Gallen-Kallela,Tali ja Adolf Paulin exlibris,1917,1897,1865,1931
261,Greta Hällfors-Sipilä,Fiikus-laulu,,1917,1899,1974
265,Auguste Rodin,Ovidiuksen Metamorfoosit,1893,1885,1840,1917
335,Akseli Gallen-Kallela,Väinämöinen ja impi,,1896,1865,1931
353,Akseli Gallen-Kallela,Kuolema ja kukka,1903,1896,1865,1931
356,Akseli Gallen-Kallela,"Ilmarinen kyntää kyisen pellon, luonnos Suomen
paviljongin kupolifreskoihin Pariisin vuoden
1900 maailmannäyttelyyn",,1899,1865,1931
357,Akseli Gallen-Kallela,Venevanhus,2008,1924,1865,1931
369,Akseli Gallen-Kallela,"Tuonelan joella, esityö Juseliuksen mausoleumin freskoa varten",,1903,1865,1931
395,Magnus Enckell,Luonnoskirja,1926,,1870,1925
424,Akseli Gallen-Kallela,Mount Kenya,,1909,1865,1931
450,Frans Maexmontan,Barösund,,1889,1847,1901
456,Akseli Gallen-Kallela,Portti Taosissa,,1925,1865,1931
497,Akseli Gallen-Kallela,Hugo Samzeliuksen exlibris,1924,1904,1865,1931
520,Johan Carl Neumann,Merikuva,1871,1870,1833,1891
522,Unto Pusa,Maisema,,1962,1913,1973
524,Akseli Gallen-Kallela,Anna Slöörin exlibris,,1896,1865,1931
528,Akseli Gallen-Kallela,Taos-vuoret pilvien peitossa,,1924,1865,1931
533,Ilja Repin,"Julia Jakub, muotokuvaharjoitelma",,1879,1844,1930
535,Akseli Gallen-Kallela,Kalman kukka (ilman runotekstiä),1917,1895,1865,1931
563,Akseli Gallen-Kallela,Karjalainen nainen,1917,1891,1865,1931
567,Robert Wilhelm Ekman,"Ilmarinen ja Pohjan neito ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,1860,1808,1873
571,Robert Wilhelm Ekman,Tuulet puhaltavat ahjoon,,1860,1808,1873
573,Ferdinand von Wright,Palokärki,,1831,1822,1906
581,Oscar Hullgren,Takapihalta,1919,,1869,1948
591,Werner Holmberg,"Metsänsisusta, jyrkkä kallioseinämä, puita",1890,1848,1830,1860
592,Robert Wilhelm Ekman,"Ilmarinen takoo sampoa ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar R.W.Ekman""",,1860,1808,1873
596,Robert Wilhelm Ekman,Kansallispukuinen selin seisova nainen,,,1808,1873
597,Robert Wilhelm Ekman,"Kirkonvartija Erik Sarenin muotokuva, luonnos",,,1808,1873
598,Robert Wilhelm Ekman,Selin seisova moralaisnainen,,1840,1808,1873
599,Robert Wilhelm Ekman,"Lemminkäinen ja Hiiden hirvi ; Originaalipiirustus piirrossarjaan ""Kalewala, Finsk National-dikt, framställd i teckningar af R.W.Ekman""",,1860,1808,1873
600,Robert Wilhelm Ekman,Istuva talonpoikaisnainen St Andresta sekä selkäharjoitelma samasta naisesta,,,1808,1873
603,Wilhelm von Wright,"Maria Elisabeth von Wright, taiteilijan äiti",,1844,1810,1887
615,Jean-Louis Forain,Folies Bergeresta,1919,,1852,1931
619,Akseli Gallen-Kallela,Pirtin salvoksella,,1906,1865,1931
622,Werner Holmberg,Lehtipuuryhmä,1890,1858,1830,1860
628,Robert Wilhelm Ekman,Adlercreutz. Kuvitusta Vänrikki Stålin tarinoihin,,1869,1808,1873
629,François Feyen-Perrin,Merimiehen lapsuus,1919,1870,,
636,Werner Holmberg,Kuunari Hoppet ankkurissa Rödhamnissa Ahvenanmaalla 26.6.1853,1889,1853,1830,1860
639,Werner Holmberg,"Maisema, metsikkö ja halkopino",1890,1858,1830,1860
645,Akseli Gallen-Kallela,"Yösija nuotiolla, 12. luku",,1907,1865,1931
654,Robert Wilhelm Ekman,Winåkerilaispoika kansanpuvussa,,,1808,1873
655,Robert Wilhelm Ekman,Italialainen maalaistalo,,,1808,1873
661,Robert Wilhelm Ekman,Kristus herättää vainajan,,,1808,1873
662,Åke Hellman,Itäkarjalainen tyttö,,1944,1915,2017
673,Ferdinand von Wright,Närhi,,1831,1822,1906
684,William Unger,Am Karst,1919,,1837,1932
691,Robert Wilhelm Ekman,"Taalalainen kerjäläisperhe, nainen kolmen lapsen kanssa",,1836,1808,1873
695,Robert Wilhelm Ekman,Vänrikin markkinamuisto. Kuvitusta Vänrikki Stålin tarinoihin,,1869,1808,1873
698,Robert Wilhelm Ekman,"Väinämöinen ja Aino, luonnos Kalevala-piirrossarjaan",,1860,1808,1873
701,Ferdinand von Wright,Vasikka pilttuussa,,,1822,1906
705,Robert Wilhelm Ekman,Viisi erilaisissa tilanteissa olevaa poikaa,,,1808,1873
708,Robert Wilhelm Ekman,"""Satu seitsemästä sisaruksesta"", luonnos Haeggströmin sisarusten ryhmämuotokuvaa (1862) varten",,1862,1808,1873
712,Akseli Gallen-Kallela,"Hirsien kantaminen, 11. luku",,1907,1865,1931
715,Akseli Gallen-Kallela,Luonnos ensimmäisen luvun otsakekuvaksi,,,1865,1931
716,Werner Holmberg,Kesämaisema,1890,1858,1830,1860
718,Werner Holmberg,"Metsänsisusta ja harjoitelma puiden rungoista ; Metsänsisusta, edessä oikealla iso kivi (kaksipuolinen teos)",1890,1859,1830,1860
723,Adolf von Becker,Vauva sekä luonnoksia vauvan kasvoista ja niskasta,,,1831,1909
724,Robert Wilhelm Ekman,"Lemminkäisen surma ; Originaalipiirustus piirrossarjaan ""Kalewala, Fink National-dikt, framställd i teckningar af R.W.Ekman""",,1860,1808,1873
730,Wilhelm von Wright,"Anna Christina von Wright, taiteilijan isoäiti",,1844,1810,1887
732,Robert Wilhelm Ekman,Mies kädet puuskassa ja nainen kansallispuvussa,,,1808,1873
733,Werner Holmberg,"Maisema, puuryhmä ja puron yli johtava silta",1890,1858,1830,1860
735,Werner Holmberg,Sammaleinen kallio metsässä,1890,1857,1830,1860
737,Constantin Hansen,Autio luostarinpiha,1953,1838,1804,
738,Wilhelm von Wright,Napoleon,,1826,1810,1887
